ID,Date,Source,Title,Authors,URL,Type,Ideology,TacticalActor,OperationalTarget,TacticMO,Location,Summary,Analyst
1,23/07/24,1,Gunman attacks Croatian aged care facility killing six and wounding several others,,https://www.abc.net.au/news/2024-07-22/croatia-nursing-home-mass-shooting-police-suspect-arrested/104129090,2,19,,12,2,42,"A gunman is in police custody after allegedly attacking an aged care facility in Croatia, shooting dead six people.  Croatia's president called the shooting a ""frightening warning"" and said it should spur the country's ""competent institutions to do more to prevent violence in society. Croatia's police chief, Nikola Milina, said five people died immediately while one more person died in a hospital.  There are many weapons kept in private homes in Croatia after the bloody break-up of Yugoslavia in the 1990s.",1
2,23/7/24,1,Anti-whaling campaigner and former Sea Shepherd captain Paul Watson arrested in Greenland on Japan Interpol notice,Kaitlin Easton,https://www.abc.net.au/news/2024-07-23/anti-whaling-campaigner-paul-watson-arrested-in-greenland/104129914,3,2,73,2;16,10,202,"Paul Watson, a veteran anti-whaling campaigner, was arrested in Greenland when his ship stopped to refuel. 
Police boarded the John Paul DeJoria and detained Mr Watson on an Interpol Red Notice, issued by Japan, as the ship was on its way to to intercept a Japanese whaling ship.",1
4,26/07/2024,6,"Russian military intelligence officer injured in Moscow car bomb attack, Kommersant says","Writing by Guy Faulconbridge Editing by Andrew Osborn, Andrew Heavens, Alexandra Hudson",https://www.reuters.com/world/europe/russian-military-intelligence-officer-injured-moscow-car-bomb-attack-kommersant-2024-07-24/,1,13;19,70;71,19,1,143,"A car bomb injured an officer from Russia's military intelligence agency in northern Moscow on Wednesday. Russia's interior ministry said that two people were injured in a blast caused by the detonation of an unidentified device and said that a criminal case had been opened. Kommersant, one of Russia's leading newspapers, said that the injured man served in the Main Directorate of the General Staff of the Armed Forces of the Russian Federation, widely referred to as GRU. Local sources are pointing to Ukraine.",3
5,26/07/2024,6,Suspected Islamists kill at least 17 civilians in east DR Congo,Reporting by Erikas Mwisi and Yassin Kombi Writing by Sofia Christensen Editing by Sandra Maler,"https://www.reuters.com/world/africa/suspected-islamists-kill-least-17-civilians-east-dr-congo-2024-07-24/#:~:text=BENI%2C%20Democratic%20Republic%20of%20Congo,hospital%20worker%20said%20on%20Wednesday.",1,9,36,2;14;15,6;13,40,"Suspected Islamist rebels killed at least 17 people in an attack on civilians working fields in east Democratic Republic of Congo on Tuesday, a local official and a hospital worker said on Wednesday. Oicha Mayor Nicolas Kikuku blamed members of the Allied Democratic Forces (ADF), an Islamic State-linked group originally from neighbouring Uganda that is now in east Congo and frequently attacks civilians.",3
6,26/07/2024,7,ISIS-K’s online recruitment poses security threat to West ahead of Olympic Games,"Nick Paton Walsh, Muhammad Darwish, Saskya Vandoorne and Benjamin Brown",https://edition.cnn.com/2024/07/25/world/isis-k-online-recruitment-security-threat-olympics-intl-cmd/index.html,2,9,33,21,11,61,"Nearly two-thirds of ISIS-linked arrests in Europe in the last nine months have been of teenagers. The apparent uptick in the recruitment of young radicals to carry out acts of terror comes as European security officials express worries at a potential resurgence of organized – or “directed” - terror attacks. The Summer Olympics in Paris, which start on Friday, have been specifically threatened by ISIS-K, the Islamic State in Khorasan, an active ISIS affiliate stemming from Central Asia. Neumann added that teenagers were being recruited through social media platforms like TikTok, dragged through algorithms into “bubbles” online where jihadist recruiters can reach them.",3
7,26/07/2024,4,Rushdie attacker charged with supporting militant group Hezbollah,Ana Faguy,https://www.bbc.com/news/articles/c29d23dg5e8o,2,9,30,14,6;9,185,"The man accused of stabbing writer Sir Salman Rushdie in 2022 in New York now faces a new charge of supporting a terrorist group. Hadi Matar has been charged with providing material support to the Lebanon-based militant group Hezbollah, according to an indictment unsealed on Wednesday. He is also charged with attempted murder and assault for the 2022 attack which left Mr Rushdie blind in one eye.",3
8,26/7/20024,3,Georgia probes alleged plot to overthrow government,Nil specific author mentioned,https://www.aljazeera.com/news/2024/7/24/georgia-probes-alleged-plot-to-overthrow-government,2,14,71,20,13,64,"State intelligence agency claims ‘former officials’ also planned to assassinate governing party head Ivanishvili. Georgia’s state intelligence agency has announced the opening of an investigation into a plot to “violently overthrow” the government. In a statement posted on Facebook on Wednesday, the State Security Service of Georgia said it is “investigating criminal activities” aimed at creating unrest, including a plot to kill Bidzina Ivanishvili, the honorary chairman of the governing Georgian Dream party. The statement accused “former high officials” of being behind the plot, with local media reports suggesting links to Ukraine.",3
9,26/07/2024,3,Oman mosque attack: What’s ISIL’s game plan?,Urooba Jamal,https://www.aljazeera.com/news/2024/7/24/oman-mosque-attack-whats-isils-game-plan,1,9,33,22,2,131,"The attack on a Shia mosque last week was likely aimed at sowing sectarian discord in a nation that is a key regional mediator, say analysts. Gunfire rang out, and shouts of “Oh God!” were heard on July 15 in Wadi Kabir, a district east of Muscat, as three gunmen entered the Imam Ali Mosque. Congregants were gathered for a major religious event for Shia Muslims. But the event ended with five people killed – four Pakistani nationals and a policeman – and at least 30 others wounded, according to Omani and Pakistani authorities.",3
10,26/7/2024,2,French authorities launch large-scale operation to combat cyber spying,Nil specific author mentioned,https://www.france24.com/en/europe/20240725-french-authorities-launch-large-scale-operation-to-combat-cyber-spying,2,19,72,21,5,61,"A senior Paris prosecutor on Thursday announced that authorities have kicked off a major operation to target a network of bots that have been infecting computers with a malware programmed aimed at stealing data for “espionage” purposes. The sweeping operation was launched on July 18 and is set to last several months. She said investigators were targeting a network of bots suspected of infecting computers with PlugX malware and of stealing data from them ""notably for purposes of espionage"".",3
11,26/07/2024,1,North Korean rubbish-carrying balloon hits South Korean presidential compound in Seoul,Nil specific author mentioned,https://www.abc.net.au/news/2024-07-24/north-korean-trash-hits-south-presidential-compound-in-seoul/104138870,4,13,71,21,13,162,"Rubbish carried by at least one North Korean balloon has fallen on the South Korean presidential compound, raising concerns about the security of key facilities in the South during provocations from the North. South Korea's presidential security service said the material that landed on the presidential compound in central Seoul contained no dangerous material and no one was hurt. While North Korea likely lacks sophisticated technology to drop balloons on specific targets, some experts say South Korea should shoot down incoming North Korean balloons next time to protect major facilities because they might contain hazardous substances in the future.",3
